texto,fecha,usuario
"rt @bbcmundo: la sputnik v fue la primera vacuna autorizada contra el covid-19, pero ahora solamente 31% de los rusos están completamente vacunados.
https://t.co/fi8wfbfdno",2021-10-16 11:44:00 UTC,efv85
"segunda dosis a maestros 
hay fuerte presión de maestros y sindicatos para que se aplique una segunda dosis de vacuna contra covid al personal educativo, a ellos les tocó la unidosis cansino. hoy se sabe que pierde efectividad sin no cuenta con refuerzo.",2021-10-16 11:43:57 UTC,jlpreciadob
"rt @hernanpablo: luego de tres años, el país vuelve a producir la vacuna contra la fiebre hemorrágica. tras superar los controles anmat aprobó el primer lote de candid #1 con un total de 7771 viales, equivalente a 77.710 dosis.

seguimos superando la herencia.",2021-10-16 11:43:50 UTC,period_enlared
"rt @albernap: italia 🇮🇹

hoy es la fecha límite para ponerse la vacuna en italia o no puedes trabajar y llevar el pan a tu casa. en respuesta, los italianos cortaron la cadena de suministro en muchos lugares.
 https://t.co/qp4odxvsne",2021-10-16 11:43:48 UTC,PGarmell
@ereija @telediario_tve @rtve el problema es que los rusos no creen en su propia vacuna,2021-10-16 11:43:46 UTC,judeoxa
"rt @lakealba: estar hablando con una persona y que me diga que no se vacuna y empiece con las conspiraciones... 

claro no te vacunas porque no quieres que te controlen, pero el móvil hasta a cagar literalmente que lo saben todo sí

y salte a fumar anda que claro eso es sanisimo

gilipollas.",2021-10-16 11:43:45 UTC,MCRALEX93
@gestionpe se van a ir a quiabra total . la vacuna está matando,2021-10-16 11:43:43 UTC,CoachKamasutra
rt @drtenz: que diferencia tener covid con y sin vacuna... sin vacuna : 12 dias de fiebre. 28 dias de sintomas.  2 meses de reposo.. con vacuna : cansancio. perdida de olfato. listo.. casi ni me doy cuenta. a seguirnos cuidando ! #medicosviadm #kaiser,2021-10-16 11:43:42 UTC,haroldhagg
"ayy que bonito, el chairo revolucionario que no sé quería vacunar, quiere viajar, ahora sí va por su vacuna, chulada de cabrones, incongruentes como siempre.",2021-10-16 11:43:42 UTC,marco15420107
rt @panorama_cancun: vacunas pfizer para rezagados en benito juárez y puerto morelos  aprovecha y no te quedes sin tu vacuna. https://t.co/hcd3yv1htu,2021-10-16 11:43:41 UTC,onBusta
"aún tenemos más de un millón de adultos sin vacuna, el virus está en su salsa",2021-10-16 11:43:34 UTC,felivald
rt @rubengluengas: la base de datos de la oms registra más de 2 millones de lesiones tras la vacuna del covid - diario16 https://t.co/txz3dienpb,2021-10-16 11:43:33 UTC,Marcela32250762
la chica que me dió la vacuna no sabe que se acaba de perder al amor de su vida,2021-10-16 11:43:22 UTC,IannBritoss
@civerr01 5g el gobierno y las guaguas reptilianas quieren dominar el mundo con la vacuna 🤪🤪,2021-10-16 11:43:22 UTC,joaquin29159813
"@anoncautivo no se porque pienso en la parte final de las películas donde el tirano,matòn,desalmado, se encierra en una habitaciòn y se suicida con un disparo en la cabeza,pero que en este final usarà la vacuna abdala que le consiguió delcy",2021-10-16 11:43:21 UTC,occarno
"@jmanalich le consulto nuevamente, alguna vacuna ya pasó de fase 3?",2021-10-16 11:43:19 UTC,ruben_suazo
"rt @albernap: italia 🇮🇹

hoy es la fecha límite para ponerse la vacuna en italia o no puedes trabajar y llevar el pan a tu casa. en respuesta, los italianos cortaron la cadena de suministro en muchos lugares.
 https://t.co/qp4odxvsne",2021-10-16 11:43:18 UTC,Mara95837144
"rt @medica_lara: reforzamiento con la vacuna #abdala en los colaboradores del cdi san jacinto.
#acubaponlecorazón
#héroesdelasalud
#cubacoopera
#cubaporlavida
@cubacooperaven
@minsapcuba
@japortalmiranda
@pardoregla
@unidad_central
@medica_lara https://t.co/wroej28ho0",2021-10-16 11:43:15 UTC,Lisnayhernande1
"@fitterhappieraj, 2020: ""(...) no es una buena compensación en mi opinión. la vacuna es mucho más preferida."" 

https://t.co/bgtfwn5ipm",2021-10-16 11:43:13 UTC,vega_ts
@richard221159 la vacuna ( única en la historia ) que hay que ponerse cada 2 meses en fase experimental evita que te contagies ?. evita que vos contagies ?. evita 100%que te mueras ?. y todo esto por un virus con 1% de mortalidad .... suena como muy raro todo no ?,2021-10-16 11:43:07 UTC,sitienen1
"rt @embajadarusaven: 👏👏👏otro lote de #sputnikv ya está en caracas!

7⃣9⃣5⃣ mil dosis de la vacuna #sputnikv llegaron hoy a venezuela para el programa de vacunación del país.

🇷🇺🤝🇻🇪 #juntosavanzamos https://t.co/c5ai5qugmc",2021-10-16 11:43:07 UTC,nucleobolivar
rt @oespinar1: taiwán más fallecidos de la vacuna que de covid. ¿es sencillamente inverosímil verdad? sigamos comportándonos como ganado hacia el matadero pero al final solo hay muerte. https://t.co/8ckxlwpmvj,2021-10-16 11:43:02 UTC,LibreDiosmehizo
"rt @josetorohardy: sociedad venezolna de infectología: ""consideramos que los candidatos a vacuna abdala y soberana 2 no deben ser administradas como parte de un esquema de vacunación masiva mientras no cumplan con los requisitos de aval científico correspondiente”",2021-10-16 11:43:02 UTC,lilia_60283
"rt @albernap: italia 🇮🇹

hoy es la fecha límite para ponerse la vacuna en italia o no puedes trabajar y llevar el pan a tu casa. en respuesta, los italianos cortaron la cadena de suministro en muchos lugares.
 https://t.co/qp4odxvsne",2021-10-16 11:43:01 UTC,devirapaula1
"rt @manhattan_2: ""los niños tienen de cuatro a seis veces más probabilidades de ser diagnosticados de miocarditis relacionada con la vacuna que de terminar en el hospital con covid""

no habrá cárceles suficientes en el mundo para los artífices y colaboradores de todo esto. https://t.co/uwvoi4krin",2021-10-16 11:42:55 UTC,SharahKasny
"rt @bbcmundo: la sputnik v fue la primera vacuna autorizada contra el covid-19, pero ahora solamente 31% de los rusos están completamente vacunados.
https://t.co/fi8wfbfdno",2021-10-16 11:42:48 UTC,Pilarca44922953
"rt @iliarist: te vacuna alguien de la campora, en un toldo armado en la calle dondw muchas veces en el cordon hay agua servida, en 1 año no pudieron armarlo en los vacunatoriis de los hospitales? que retorno hay x esto? te das cuenta que no te cuidan? https://t.co/pvjoykfabe",2021-10-16 11:42:48 UTC,pato_pel
"rt @agenciatelam: 🔴 arribó al aeropuerto internacional de ezeiza el vuelo ar1063 de aerolíneas argentinas con 500 mil dosis del segundo componente de la vacuna sputnik v proveniente de rusia
https://t.co/la9gyqo2vb",2021-10-16 11:42:47 UTC,TeijeiroI
"rt @medica_lara: reforzamiento con la vacuna #abdala en los colaboradores del cdi san vicente.
#acubaponlecorazón
#héroesdelasalud
#cubacoopera
#cubaporlavida
@cubacooperaven
@minsapcuba
@japortalmiranda
@pardoregla
@unidad_central
@medica_lara https://t.co/5lo9nufat3",2021-10-16 11:42:42 UTC,Lisnayhernande1
rt @justiciaverdepe: ¿los impactos de la vacuna de la covid-19 en la menstruación es un motivo para dejar de vacunarnos? noooooooooo. la vacuna es importante y salva vidas. pero necesitamos tener información y prestar atención a nuestro ciclo.,2021-10-16 11:42:38 UTC,EPB75216804
"rt @bartolodelpony: piñera licitó nuestros pasaportes y carnet a los chinos.
la vacuna no venía nah de buena onda.
#destitucionapiñera",2021-10-16 11:42:35 UTC,Kata41281930
"rt @saludedomex: este 15 y 16 de octubre estaremos aplicando la segunda dosis de la vacuna a adultos de 30 a 39 años en #chapademota, #timilpan, #jiquipilco, #jocotitlán y #morelos.
#estrategiadevacunación https://t.co/i2lzvo7eck",2021-10-16 11:42:30 UTC,CeciliaMoctezu8
rt @drtenz: que diferencia tener covid con y sin vacuna... sin vacuna : 12 dias de fiebre. 28 dias de sintomas.  2 meses de reposo.. con vacuna : cansancio. perdida de olfato. listo.. casi ni me doy cuenta. a seguirnos cuidando ! #medicosviadm #kaiser,2021-10-16 11:42:30 UTC,zoraidaguilar1
"rt @albernap: italia 🇮🇹

hoy es la fecha límite para ponerse la vacuna en italia o no puedes trabajar y llevar el pan a tu casa. en respuesta, los italianos cortaron la cadena de suministro en muchos lugares.
 https://t.co/qp4odxvsne",2021-10-16 11:42:26 UTC,manfredlopez9
"rt @nestorroulet: 🤔🇦🇷 ""el gran desacople"":los argentinos comemos cada vez menos carne vacuna (47 kg en el 2021 contra 60 kg en el 2018), mientras el ganadero argentino cobra el valor más bajo por kg de novillo de la región.  argentina 1 u$s/kg de novillo, brasil 2,06, paraguay 2,07 y urugua 2,45. https://t.co/eoo6lrbl0k",2021-10-16 11:42:26 UTC,Negromassa49
"rt @medica_lara: reforzamiento con la vacuna #abdala en los colaboradores del cdi san jacinto.
#acubaponlecorazón
#héroesdelasalud
#cubacoopera
#cubaporlavida
@cubacooperaven
@minsapcuba
@japortalmiranda
@pardoregla
@unidad_central
@medica_lara https://t.co/feriwldttp",2021-10-16 11:42:20 UTC,Lisnayhernande1
"rt @pedrocejas12: ami me fue mal este año, pero por lo menso no subí foto del carnet de vacuna.",2021-10-16 11:42:17 UTC,CandeRoldan_14
@inconforme75 pero la vacuna salva vidas...,2021-10-16 11:42:16 UTC,doctorbennell
"#cocuyochequea cuidado con la información viral sobre las vacunas. en un tuit se dice que la vacuna anticovid ha tenido más efectos negativos que cualquier otra en la historia. pero esta afirmación es falsa ❌
 
lee más ⬇️ https://t.co/zygzruubzg",2021-10-16 11:42:11 UTC,EfectoCocuyo
"rt @_elinvestigador: 🔴 graban a un alto cargo de ""libertad digital""  confirmando que la famosa periodista española elia rodríguez murió el mismo día de vacunarse.

el mismo día:
1. se vacuna.
2. se empieza a encontrar mal después de la vacuna.
3. muere en casa.

seguir leyendo: 👇",2021-10-16 11:42:10 UTC,Ruth15463941
@cansinobio a los cuantos meses puedo ponerme otra vacuna diferente?,2021-10-16 11:42:10 UTC,Cottonnlips
"rt @jjdesmeules: 🚨última hora🚨
el ministerio de sanidad informa:
se está probando una vacuna contra el covid-19 hecha con el suero obtenido de la sangre del presidente sánchez. se espera que dicha vacuna acobarde al virus y no sepa que carajo hacer.",2021-10-16 11:42:06 UTC,adelab_falco
rt @hebegelpcatt: @carlavizzotti usted sabe mejor q nadie que la enfermedad en los niños no es preocupante pero buscan votos demagóquicamente y hay quienes son tan fanáticos q van como ganado. la tercera edad pide tercera dosis d esta vacuna porque su eficacia es muy poca y es ahí donde deberían estar vacunando,2021-10-16 11:42:05 UTC,Susana_1_1969
"rt @albernap: italia 🇮🇹

hoy es la fecha límite para ponerse la vacuna en italia o no puedes trabajar y llevar el pan a tu casa. en respuesta, los italianos cortaron la cadena de suministro en muchos lugares.
 https://t.co/qp4odxvsne",2021-10-16 11:42:04 UTC,impepinable2020
"rt @medica_lara: chequeo de los colaboradores de la misión deporte del estado lara antes del reforzamiento con la vacuna #abdala.
#acubaponlecorazón
#héroesdelasalud
#cubacoopera
#cubaporlavida
@cubacooperaven
@minsapcuba
@japortalmiranda
@pardoregla
@unidad_central
@medica_lara https://t.co/xp99gx4rgq",2021-10-16 11:42:02 UTC,Lisnayhernande1
rt @edomex: #estrategiadevacunación | del 16 al 19 de octubre estaremos aplicando la segunda dosis de la vacuna a personas de 18 a 29 años en #atizapándezaragoza. https://t.co/d43zxjslrt,2021-10-16 11:42:02 UTC,JosefinaGordia3
"rt @inconforme75: joven de 16 años fallece en italia 3 semanas de vacunarse con moderna.
acudió varias veces a urgencias desde que recibió la vacuna al sentirse mal.
era sano y sin problemas de salud.
https://t.co/f4ledod1sy",2021-10-16 11:42:01 UTC,Benfer7
"rt @medica_lara: reforzamiento con la vacuna #abdala en los colaboradores del cdi san vicente.
#acubaponlecorazón
#héroesdelasalud
#cubacoopera
#cubaporlavida
@cubacooperaven
@minsapcuba
@japortalmiranda
@pardoregla
@unidad_central
@medica_lara https://t.co/grky8t2cej",2021-10-16 11:41:56 UTC,Lisnayhernande1
"rt @jjdesmeules: 🚨última hora🚨
el ministerio de sanidad informa:
se está probando una vacuna contra el covid-19 hecha con el suero obtenido de la sangre del presidente sánchez. se espera que dicha vacuna acobarde al virus y no sepa que carajo hacer.",2021-10-16 11:41:52 UTC,Et22Sano
"@luis13104072 @c_la_pelos @8bitsdepoder @ccarballo50 @dany_danay yo he dicho la verdad, la vacuna me dio un cansancio enorme al día siguiente, tanto que me quedé dormido a las 12, pero ellos no es así, todo son desgracias muy variadas.",2021-10-16 11:41:50 UTC,PandemiaSi
"rt @medica_lara: reforzamiento con la vacuna #abdala en los colaboradores del cdi san vicente.
#acubaponlecorazón
#héroesdelasalud
#cubacoopera
#cubaporlavida
@cubacooperaven
@minsapcuba
@japortalmiranda
@pardoregla
@unidad_central
@medica_lara https://t.co/ygsnnl9wit",2021-10-16 11:41:50 UTC,Lisnayhernande1
"@medicoybioetica @jiminguez44 @luzbelindafe claro. que se lo digan al ministerio de salud, que afirma que ni tiene el virus aislado ni tiene idea de donde pueda estar… al final es lo de siempre, parece que si el fallecido es un vacunado por la vacuna es menos fallecido que uno con covid 🤦🏽‍♂️ en fin, gracias por su tiempo.",2021-10-16 11:41:48 UTC,Super_Mich1
"rt @ssalud_tab: ¡segunda dosis de la vacuna contra el #covid19 astrazeneca a los jóvenes de 18 a 29 años en centro! 

🗓️hoy viernes concluiremos la aplicación de la segunda dosis de la vacuna contra el covid-19 a los jóvenes de 18 a 29 años y mujeres embarazadas del municipio de centro. https://t.co/9chueioxwg",2021-10-16 11:41:45 UTC,carlitoscasdom
"@ccarballo50 vacuna a tus hijos infeliz ponselas todas , vas a caer algún día porque tu carrera ya la tienes por tierra",2021-10-16 11:41:40 UTC,pakitromm
"rt @manhattan_2: ""los niños tienen de cuatro a seis veces más probabilidades de ser diagnosticados de miocarditis relacionada con la vacuna que de terminar en el hospital con covid""

no habrá cárceles suficientes en el mundo para los artífices y colaboradores de todo esto. https://t.co/uwvoi4krin",2021-10-16 11:41:39 UTC,danialonpri
"rt @chejoel: repeat after me: la vacuna cansino funciona. si dejan o no entrar a un país por tener una y no otra no es una cuestión sanitaria, sino geopolítica y comercial.",2021-10-16 11:41:39 UTC,FaltanGenaro
"rt @timodelpino: así como arquímedes dijo “dadme una palanca y moveré el mundo”, los tiranos han dicho denme una vacuna y lo pararé.",2021-10-16 11:41:38 UTC,frankmaroc26
"rt @alonso_gd: además que los “pasaportes de vacuna” existen hace décadas sin que nadie se queje. si no me creen, traten de viajar a costa rica sin un certificado de vacunación contra la fiebre amarilla https://t.co/qnnqhgv7ps",2021-10-16 11:41:36 UTC,Darkminho
@panita__pana @marukaixa en la silla que te hacen esperar 15 minutos despues de la vacuna noté que a mi hija se le caian unas lagrimitas entre el cachete y el barbijo. le digo: estás llorando???? me dice bajito: me dolió. 22 años tiene chicassssssss. 😱😱😅😅😅😅😅,2021-10-16 11:41:30 UTC,fetcheves
"rt @msaludpy: aplicarán #terceradosis anticovid a personal de salud y personas de 50 años en adelante

quienes hayan recibido su segunda dosis hasta el 30 de abril, podrán acceder a la tercera dosis de la vacuna contra #covid19.

➕ℹ️ https://t.co/xfwame8hdh https://t.co/oy510acivj",2021-10-16 11:41:27 UTC,rosa_py
@buenrollo13 mejor 300 por la vacuna que miles de millones por el bicho. no hay comparación.,2021-10-16 11:41:24 UTC,alicia5974
@hoydia yo soy feliz cuando me lleno la boca de yo estoy vacunada con pfizer hace 6 meses y tuve covid y salí adelante muy fácil un dolor de cabeza de morir pero mi vacuna peleó contra el covid 19/delta y triunfó la ciencia siempre adelante y amo estados unidos por free vaccine,2021-10-16 11:41:17 UTC,amigany
rt @yousominasobuco: lo que le duele a los americanos es que la vacuna pfizer nunca tendrá un tema de buena fe.,2021-10-16 11:41:15 UTC,lexterderecha
rt @emaniuemanuel: se han preguntado; xq @carlosalvq y su circo d ladrones están tan interesados en q estemos peleando x quien se pone y quien no se pone la vacuna? que estarán haciendo x debajo d la mesa aparte d aumentarnos la luz y tener el $ x las nubes?’,2021-10-16 11:41:14 UTC,cristianaraya6
"rt @todomejorqenada: un francés no vacunado es un señor que ha pagado la vacuna a un francés vacunado para que pueda contagiar  la covid en los sitios en los que a él no le permiten entrar sin soltar 50 euros.
sí, eso está ocurriendo en el país donde pasó una cosa muy gorda en 1789.",2021-10-16 11:41:12 UTC,Seguidofilo
@sandraruiztejer @josefinaportes @sin24horas sino quieres q te contagien o contagiar sigue usando la mascarilla pues eso es lo que más puede evitar que te contagien. tu padre gracias a dios es de genes fuertes y su sistema inmunologico lo defendió. créeme no fue la vacuna 😂 pues de ser así no morirían vacunados y si mueren,2021-10-16 11:41:10 UTC,ArialdisL
"rt @adrianagallegoa: ⚰ se vacuna y muere a los 15 días de una hemorragia cerebral mahima mathew, una joven embarazada de 7 semanas.
➡️ el certificado de defunción indica que la muerte de la mujer embarazada es muy posible que se deba a la vacuna.
➡️ fuente: https://t.co/7y05jyawme https://t.co/uyhzghnjcy",2021-10-16 11:41:08 UTC,Benfer7
"rt @josetorohardy: sociedad venezolna de infectología: ""consideramos que los candidatos a vacuna abdala y soberana 2 no deben ser administradas como parte de un esquema de vacunación masiva mientras no cumplan con los requisitos de aval científico correspondiente”",2021-10-16 11:40:59 UTC,VzlaLibreyenPaz
@buenrollo13 suma a todos los afectados por la vacuna que ahora también reniegan,2021-10-16 11:40:58 UTC,Laura_PalmerTP
"@teoinfante @dominikanamente @carlospenard ahora por esto hablan de dictadura. 
    muchas cosas hace mucho la aplican como si fuera una dictadura y nadie dice nada.  ahora por qué un grupo de personas no quieren ponerse la vacuna.",2021-10-16 11:40:55 UTC,pedroysabel1
"rt @josetorohardy: sociedad venezolna de infectología: ""consideramos que los candidatos a vacuna abdala y soberana 2 no deben ser administradas como parte de un esquema de vacunación masiva mientras no cumplan con los requisitos de aval científico correspondiente”",2021-10-16 11:40:54 UTC,tulioramirezc
"rt @piacostar: el malabar mental y verbal que hacen algunos ""libertarios"" para cuestionar la prohibición de ingresar a un lugar sin vacuna. si todo lo ven ""atentado contra su libertad"", ahorita me salen con que el semáforo en rojo les restringe el libre tránsito 🙄.",2021-10-16 11:40:54 UTC,Amano4421210
"rt @africamar: muere de un ictus cerebral un joven sevillano de 36 años unos días después de inyectarle la vacuna asesina de johnson &amp; johnson. no tenía ninguna enfermedad ni patología previa.
https://t.co/pimrbhxqau",2021-10-16 11:40:50 UTC,Benfer7
rt @jmanalich: estados unidos reconoce sinovac como una vacuna válida para ingresar al país.,2021-10-16 11:40:44 UTC,rbarnalama
"rt @alejandrocambr_: ""en taiwán el número de personas falleciendo después de inocularse ña ""vacuna"" excede el número de fallecimientos por el propio virus"". https://t.co/gkrw3fbysa",2021-10-16 11:40:44 UTC,Jose2Rivas
"rt @hernanpablo: luego de tres años, el país vuelve a producir la vacuna contra la fiebre hemorrágica. tras superar los controles anmat aprobó el primer lote de candid #1 con un total de 7771 viales, equivalente a 77.710 dosis.

seguimos superando la herencia.",2021-10-16 11:40:35 UTC,alfelgatonegro
rt @alexihayek: @palmirot fíjense q la oms dice q la vacuna no evita q te contagies y contagies a otros. ahora vemos q no atenua la enfermedad. entonces para q sirven esas vacunas q contienen productos nuevos y desconocidos? están experimentando con nosotros?,2021-10-16 11:40:30 UTC,ManlioPerra
hay una vacuna que se llama cansino ajajjaja https://t.co/6tmubvr77y,2021-10-16 11:40:23 UTC,mmbravo36
@hlgatell estimado dr hugo lópez gatell solicito de la manera más atenta mande a cuautitlán izcalli edo. mex. vacuna pfizer para resagados. yo no pude aplicarme la segunda dosis por estar hospitalizada por una apendicitis aguda. primera dosis 10 de junio. tengo 65 años.,2021-10-16 11:40:21 UTC,GloriaA40926187
"rt @jesusrcuevas: se firmó el acuerdo entre @birmex y el fondo ruso de inversión directa para envasar en méxico la vacuna sputnik v, con lo que se amplían los recursos de protección contra #covid19 para la población. 
al mismo tiempo, esta resolución fortalece la relación entre ambas naciones.",2021-10-16 11:40:20 UTC,FaltanGenaro
rt @jmanalich: estados unidos reconoce sinovac como una vacuna válida para ingresar al país.,2021-10-16 11:40:16 UTC,Cantardo
"para santa fe la vacuna contra el dengue es una ""excelente"" noticia https://t.co/gk7o4z0joe a través de @lacapital",2021-10-16 11:40:16 UTC,osvaldosalomon
"rt @inconforme75: sinceramente no veo dónde está el problema con hacerse un pase sanitario falso para probar haber recibido una vacuna falsa para combatir una pandemia falsa, decretada por políticos de pacotilla...",2021-10-16 11:40:15 UTC,doctorbennell
"rt @bbcmundo: la sputnik v fue la primera vacuna autorizada contra el covid-19, pero ahora solamente 31% de los rusos están completamente vacunados.
https://t.co/fi8wfbfdno",2021-10-16 11:40:10 UTC,mad_cea
"rt @albernap: italia 🇮🇹

hoy es la fecha límite para ponerse la vacuna en italia o no puedes trabajar y llevar el pan a tu casa. en respuesta, los italianos cortaron la cadena de suministro en muchos lugares.
 https://t.co/qp4odxvsne",2021-10-16 11:40:09 UTC,Toni19183716
"rt @jesusrcuevas: se firmó el acuerdo entre @birmex y el fondo ruso de inversión directa para envasar en méxico la vacuna sputnik v, con lo que se amplían los recursos de protección contra #covid19 para la población. 
al mismo tiempo, esta resolución fortalece la relación entre ambas naciones.",2021-10-16 11:40:04 UTC,Jito83376243
"rt @msaludpy: aplicarán #terceradosis anticovid a personal de salud y personas de 50 años en adelante

quienes hayan recibido su segunda dosis hasta el 30 de abril, podrán acceder a la tercera dosis de la vacuna contra #covid19.

➕ℹ️ https://t.co/xfwame8hdh https://t.co/oy510acivj",2021-10-16 11:40:00 UTC,lucia_melgarejo
rt @alexihayek: @palmirot fíjense q la oms dice q la vacuna no evita q te contagies y contagies a otros. ahora vemos q no atenua la enfermedad. entonces para q sirven esas vacunas q contienen productos nuevos y desconocidos? están experimentando con nosotros?,2021-10-16 11:40:00 UTC,geigerantal
"en 2022 se definirá si méxico aplica la vacuna contra covid a jóvenes de 12 a 17 años
https://t.co/71wpwqjbyw https://t.co/kushy361vj",2021-10-16 11:40:00 UTC,entreveredas
"rt @piacostar: el malabar mental y verbal que hacen algunos ""libertarios"" para cuestionar la prohibición de ingresar a un lugar sin vacuna. si todo lo ven ""atentado contra su libertad"", ahorita me salen con que el semáforo en rojo les restringe el libre tránsito 🙄.",2021-10-16 11:39:59 UTC,manrevca
"rt @tony73_: ""sí lo sé. todo estaba perfectamente hasta ese momento que me la pusieron. sí, la vacuna ha acabado con mi temporada. al 100%.""",2021-10-16 11:39:58 UTC,FranRoc1975
rt @bajolacurva: 🇦🇷me dieron la 2da dosis de la vacuna y paramos a tomar algo. y de paso vemos código de alumnos desde el celular. no es lo ideal pero totalmente posible. colab android para los que tienen ese os y corren notebooks sin problemas. #python https://t.co/q9e7ugizav,2021-10-16 11:39:58 UTC,GarofoliSergio
@aldu_maria pero el asqueroso  que está en palacio nacional  quiere impugnar no? que sabes de que el hospital  ángeles está vendiendo nina vacuna.?,2021-10-16 11:39:58 UTC,MARPINAL
"@sdesanty @hakuritzio ok, quizás recorde mal ese detalle, pero esa historia, la contó un indígena y me quedo, que ellos creían que las vacuna eran una manera de exterminarlos y se escondían y esa historia pasó de generación a generación y al día de hoy, no aceptan las vacunas.",2021-10-16 11:39:53 UTC,anabelpps
"rt @tony73_: ""...de que tenía trombos en la sangre. todo esto pasó sólo en un mes.""

goodwin está seguro de que ha sido  por efecto de la vacuna: ""hasta ese momento, todo estaba bien. sí, estaba perfecto hasta que me vacunaron. todos te dicen ""no es por la vacuna, ¿cómo lo sabes? no lo sabes""",2021-10-16 11:39:52 UTC,FranRoc1975
"rt @jjdesmeules: 🚨última hora🚨
el ministerio de sanidad informa:
se está probando una vacuna contra el covid-19 hecha con el suero obtenido de la sangre del presidente sánchez. se espera que dicha vacuna acobarde al virus y no sepa que carajo hacer.",2021-10-16 11:39:51 UTC,KhintiIa
rt @eu21_8: no servía para nada la vacuna....para nadaa.... https://t.co/g91wlnbcbs,2021-10-16 11:39:47 UTC,Antonio_ogt
"rt @elijustice_xx_: has escuchado alguna vez que después de haber pasado el sarampión o la rubeola, te tengas que vacunar de estas?
no, verdad?
pues la vacuna covid, es la única vacuna que te la tienes que poner habiendo pasado la enfermedad. 🥳
👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼",2021-10-16 11:39:47 UTC,supernena280
"rt @carmenrepineda: @alfredodelmazo gobernador le pido de favor tambien sean considerados los menores de edad de 17 a 12  y de menos edad, ellos también tienen el derecho a su vacuna.",2021-10-16 11:39:46 UTC,OscarSF49
rt @drtenz: que diferencia tener covid con y sin vacuna... sin vacuna : 12 dias de fiebre. 28 dias de sintomas.  2 meses de reposo.. con vacuna : cansancio. perdida de olfato. listo.. casi ni me doy cuenta. a seguirnos cuidando ! #medicosviadm #kaiser,2021-10-16 11:39:44 UTC,mijosemago
"rt @_elinvestigador: 🔴 graban a un alto cargo de ""libertad digital""  confirmando que la famosa periodista española elia rodríguez murió el mismo día de vacunarse.

el mismo día:
1. se vacuna.
2. se empieza a encontrar mal después de la vacuna.
3. muere en casa.

seguir leyendo: 👇",2021-10-16 11:39:40 UTC,KaryCaicedo
"hoy no han actualizado la página de la ema. a 9 de octubre tenemos 9.838 menores dañados por la vacuna. podemos ver que hay menores de 0 a 1 mes, que no creo que hayan sido vacunados. ¿qué les puede haber pasado? más del 80% de los reportes son de menores de 65 años. https://t.co/dkayjerequ",2021-10-16 11:39:27 UTC,Julio40212962
me he levantado a las 6 am de lo ansiosa que estoy para que me vacunen but estoy nerviosa porque jamás en mi vida me han puesto alguna vacuna y tampoco quiero ir sola): estoy esperando a que alguien se levante si quiera para que vea por videollamada y se emocione lol que triste,2021-10-16 11:39:26 UTC,quemrdconmigo
"estados unidos recomienda aplicarse una dosis de refuerzo para la vacuna de johnson &amp; johnson
https://t.co/qkgthefzlw",2021-10-16 11:39:26 UTC,radiomitre
@laligaderafa @larazon_es allí se vacuna con el vodka o no se vacunan..jejeje,2021-10-16 11:39:24 UTC,jalemanazul
"café? 

no sé si fue la vacuna,las enchiladas, o el verla feliz y contenta lo que me provocó una pinche diarrea bien prra. https://t.co/9jet08aksc",2021-10-16 11:39:23 UTC,_CharlyM
"rt @chejoel: repeat after me: la vacuna cansino funciona. si dejan o no entrar a un país por tener una y no otra no es una cuestión sanitaria, sino geopolítica y comercial.",2021-10-16 11:39:22 UTC,elam19th
"rt @mianrey: 💉 españoles que han recibido al menos una dosis de la vacuna contra el coronavirus:

✔️ 12-19 —&gt; 84,3% [+0,1]
✔️ 20-29 —&gt; 79,8% [+0,1]
✔️ 30-39 —&gt; 78,1% [+0,1]
✔️ 40-49 —&gt; 88,1% [=]
✔️ 50-59 —&gt; 94,8% [=]
✔️ 60-69 —&gt; 98,8% [=]
✔️ 70-79 —&gt; 99,5% [=]

✔️ 12+ —&gt; 89,9% [=] https://t.co/zjhtrfi7iq",2021-10-16 11:39:13 UTC,davidmacho
@kafiri14 la vacuna funciona..sino ahora mismo no estaríamos así de bien .,2021-10-16 11:39:06 UTC,escarlataojo
"rt @zinclaudio: oxford (uk) comienza la fase i de la vacuna intranasal anticovid. esta vacuna claramente es segura, de ser efectiva como sus congéneres por vía im, bloqueará el ingreso del virus al cuerpo, neutralizandolo directamente en la nariz donde se aplica.",2021-10-16 11:39:05 UTC,paocalo
rt @jmanalich: estados unidos reconoce sinovac como una vacuna válida para ingresar al país.,2021-10-16 11:39:03 UTC,JorgeMa30328631
"rt @rescate_sos: #abandonado 💔
bebe de dos meses, lo metieron en una bolsa y lo dejaron en una esquina. necesitamos ayuda para llevarlo a la veterinaria porque tiene una herida cerca al ojo y está inflado, debe pasar chequeo, desparasitacion, vacuna, alimento, cama, protectores.
#dona
#apadrina https://t.co/x8ex7qlenx",2021-10-16 11:38:59 UTC,NellyZacariasR2
"rt @medica_lara: reforzamiento con la vacuna #abdala en los colaboradores del cdi san jacinto.
#acubaponlecorazón
#héroesdelasalud
#cubacoopera
#cubaporlavida
@cubacooperaven
@minsapcuba
@japortalmiranda
@pardoregla
@unidad_central
@medica_lara https://t.co/bwnn1reute",2021-10-16 11:38:56 UTC,Lisnayhernande1
